q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_u,q14_r,q14_i,q14_rur,q14_m,q14_pnd,q15,q16,q17,q18,q19_a,q19_b,q20,q21
I consent,Female,African,20-29 years,R20 000- R24 999,Everyday,2-3 times per week,7,50,5,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,5,4,Yes,,50,I do not wish to disclose this information,No
I consent,Male,White,30-39 years,R15 000- R19 999,Everyday,Once per week,17,200,3,Medium,Gauteng,Fourways,.,true,.,.,.,.,,5,3,No,,,Yes,No
I consent,Female,White,30-39 years,R10 000- R14 999,Everyday,Once per week,10,2000,20,High,Gauteng,Pretoria,.,true,.,.,.,.,,10,5,Yes,12.5,120,Yes,No
I consent,Female,White,30-39 years,R15 000- R19 999,Once per week,Once per month (or less),15,250,5,High,Gauteng,pretoria,.,.,.,.,.,true,,1,30,Yes,18.5,153,Yes,No
I consent,Male,African,20-29 years,R5000-R9999,Everyday,Once per week,4,100,8,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,7,7,Yes,6.5,50,Yes,No
I consent,Female,White,40-49 years,R10 000- R14 999,Everyday,Once per month (or less),20,500,20,Medium,Gauteng,.,.,.,.,.,.,.,,10,30,No,,,No,.
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,2-3 times per month,14,5000,300,High,Gauteng,Nope,.,.,.,.,.,true,,10,30,Yes,15,100,I do not wish to disclose this information,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,2-3 times per month,15,350,1000,Low,Gauteng,Midrand,.,.,.,.,true,.,,8,More than 30 days,Yes,,,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,1,250,6.5,High,Gauteng,Alberton,.,true,.,.,.,.,,10,7,Yes,28.125,167.22223,I do not wish to disclose this information,Yes
I consent,Female,White,20-29 years,R10 000- R14 999,.,2-3 times per month,4,300,10,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,9,14,Yes,11.5,55,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,Once per month (or less),7,1000,7,High,Gauteng,Joburg,.,true,.,.,.,.,,7,2,Yes,100,300,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,7,400,5,High,Gauteng,Johannesburg,.,true,.,.,.,.,,8,2,Yes,50,432.5,No,Yes
I consent,Female,White,< 20 years (younger than 20 years),R1000- R4999,Once per week,2-3 times per month,1,160,1,High,Gauteng,Edenvale,.,true,.,.,.,.,,7,5,Yes,70,205,Yes,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,2-3 times per month,15,300,15,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,4,14,No,,,No,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),2-3 times per week,2-3 times per week,1,150,3,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,9,2,No,,,Yes,No
I consent,Male,African,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,2-3 times per month,3,100,5,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,10,20,No,,,No,No
I consent,Male,Coloured,20-29 years,R20 000- R24 999,2-3 times per week,2-3 times per month,10,1000,8,High,Gauteng,Johannesburg,.,.,.,.,true,.,,8,10,Yes,50,175,No,No
I consent,Male,Asian,30-39 years,R30 000 and above,Everyday,2-3 times per month,17,1000,500,Medium,Gauteng,Randburg,.,.,.,.,.,true,,8,15,Yes,1,58.75,No,No
I consent,Male,White,20-29 years,R20 000- R24 999,Everyday,Once per month (or less),10,3000,250,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,4,More than 30 days,Yes,10,85,Yes,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,Once per week,8,350,20,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,6,10,No,,,No,Yes
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per month,5,200,5,High,Gauteng,Pretoria,true,.,.,.,.,.,,8,5,Yes,20,70,Yes,Yes
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per week,5,120,2,Medium,Gauteng,Johannesburg,.,.,.,.,true,.,,3,4,Yes,40,150,No,Yes
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,2,1050,18,Medium,Gauteng,Joburg,.,true,.,.,.,.,,10,23,Yes,22.5,156.66667,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),4,300,6,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,10,5,Yes,30,100,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,11,450,20,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,9,6,Yes,11,102.5,No,No
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,Once per week,8,300,30,Medium,Gauteng,Sandton,.,true,.,.,.,.,,10,7,No,,,I do not wish to disclose this information,I do not wish to disclose this information
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,9,1000,40,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,2,6,Yes,15,225,Yes,Yes
I consent,Male,Coloured,20-29 years,R5000-R9999,Everyday,Once per week,8,150,20,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,10,4,No,,,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,3,1000,40,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,3,14,Yes,11.111111,160,No,Yes
I consent,Female,African,20-29 years,R30 000 and above,Everyday,2-3 times per month,5,300,10,High,Gauteng,Pretoria,true,.,.,.,.,.,,8,30,Yes,20,150,No,Yes
I consent,Female,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,5,100,5,Medium,Gauteng,Pretoria,.,.,.,.,true,.,,7,2,Yes,,30,Yes,No
I consent,Male,White,20-29 years,R30 000 and above,Everyday,2-3 times per month,3,800,8,High,Gauteng,Johannesburg,.,true,.,.,.,.,,3,5,Yes,80,260,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,10,100,2,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,8,2,No,,,No,No
I consent,Male,White,20-29 years,R5000-R9999,Once per month (or less),Once per month (or less),3,120,2,Medium,Gauteng,Montana,.,true,.,.,.,.,,2,5,Yes,30.666666,120,Yes,No
I consent,Male,Coloured,30-39 years,< R1000 (less than R1000),Everyday,2-3 times per week,20,30,1,Low,Gauteng,Johannesburg,true,.,.,.,.,.,,10,2,No,,100,No,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,5,200,12,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,7,21,No,,,Yes,No
I consent,Male,I would prefer to not answer,20-29 years,< R1000 (less than R1000),Everyday,Everyday,3,20000,2000,Medium,Gauteng,"Johannesburg,",true,.,.,.,.,.,,4,More than 30 days,Yes,,202.5,Yes,No
I consent,Male,Indian,20-29 years,R1000- R4999,Everyday,2-3 times per week,6,150,5,High,Gauteng,Pretoria,true,.,.,.,.,.,,5,2,Yes,20,143.33333,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per week,5,150,5,High,Gauteng,Pretoria,true,.,.,.,.,.,,10,2,Yes,25,50,Yes,Yes
I consent,Female,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,4,100,3,Medium,Gauteng,Malvern,.,.,.,.,true,.,,9,2,Yes,10,165,Yes,No
I consent,Male,White,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,Everyday,2,100,2,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,10,2,Yes,10,165,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,13,800,30,Medium,Gauteng,Krugersdorp,.,.,.,.,true,.,,7,27,Yes,12.5,40,No,No
I consent,Male,White,30-39 years,R30 000 and above,2-3 times per week,Once per week,10,150,5,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,9,7,Yes,25,95,Yes,Yes
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),3,3000,250,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,3,30,Yes,10,102,No,No
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per week,Once per month (or less),10,500,20,High,Gauteng,Johannesburg,.,true,.,.,.,.,,5,More than 30 days,Yes,,112.5,Yes,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,Everyday,6,100,4,Medium,Gauteng,Roodepoort,true,.,.,.,.,.,,7,1,Yes,20,80,No,No
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,2-3 times per month,17,1500,30,High,Gauteng,Johannesburg,.,.,.,.,true,.,,8,20,Yes,33.333332,150,I do not wish to disclose this information,No
I consent,Male,African,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,2-3 times per week,4,200,10,High,Gauteng,Johannesburg,.,true,.,.,.,.,,8,2,No,,,No,No
I consent,Male,Other,20-29 years,R5000-R9999,2-3 times per week,Once per week,11,225,12.5,Medium,Gauteng,Braamfontein JHB,true,.,.,.,.,.,,8,7,No,,,No,No
I consent,Female,I would prefer to not answer,20-29 years,R1000- R4999,I do not wish to disclose this information,I do not wish to disclose this information,4,20,2,Medium,Gauteng,Gauteng,.,.,.,.,.,true,,2,2,Yes,5,35,I do not wish to disclose this information,No
I consent,Male,African,20-29 years,R15 000- R19 999,Everyday,Once per week,12,100,2.5,High,Gauteng,Pretoria,.,.,.,.,true,.,,8,7,Yes,25,73.333336,No,I do not wish to disclose this information
I consent,Male,Indian,20-29 years,R5000-R9999,Everyday,Once per week,3,400,10,Medium,Gauteng,Johannesburg,.,.,.,.,true,.,,5,6,Yes,17.5,200,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,I do not wish to disclose this information,2,500,10,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,8,More than 30 days,Yes,25,120,No,Yes
I consent,Male,White,< 20 years (younger than 20 years),< R1000 (less than R1000),2-3 times per week,Once per month (or less),4,100,10,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,3,7,No,,,No,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,Once per month (or less),8,800,15,High,Gauteng,Jhb,.,true,.,.,.,.,,7,30,Yes,30,100,Yes,No
I consent,Male,Indian,20-29 years,R15 000- R19 999,Everyday,2-3 times per week,13,1000,80,High,Gauteng,Johannesburg,.,true,.,.,.,.,,2,15,Yes,,140,Yes,No
I consent,Female,White,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per month,2,200,10,Medium,Gauteng,Centurion,.,true,.,.,.,.,,9,14,Yes,15,59.523811,Yes,No
I consent,Male,White,20-29 years,R30 000 and above,2-3 times per week,Once per month (or less),9,700,4,High,Gauteng,Johannesburg,true,.,.,.,.,.,,10,25,Yes,90,180,Yes,No
I consent,Male,Indian,< 20 years (younger than 20 years),< R1000 (less than R1000),Once per week,2-3 times per month,3,100,5,High,Gauteng,Vereeniging,true,.,.,.,.,.,,10,15,Yes,12.5,150,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,7,150,5,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,10,5,Yes,20,130,No,No
I consent,Female,White,40-49 years,R10 000- R14 999,Once per week,Once per month (or less),20,600,10,High,Gauteng,Alberton,true,.,.,.,.,.,,8,More than 30 days,Yes,33.333332,120,No,Yes
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),6,600,20,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,9,25,Yes,10,164,No,Yes
I consent,Female,African,30-39 years,R25 000- R29 999,Everyday,2-3 times per month,19,400,60,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,2,20,No,,,No,No
I consent,Female,African,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,Once per month (or less),3,60,2,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,10,3,No,,,No,.
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,2-3 times per month,4,200,5,Medium,Gauteng,Pretoria,.,.,.,.,.,true,,8,25,No,,,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R25 000- R29 999,2-3 times per week,2-3 times per month,12,400,5,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,9,21,Yes,41,200,No,Yes
I consent,Female,White,20-29 years,R1000- R4999,Everyday,Once per week,3,150,4,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,3,7,Yes,,60,No,No
I consent,Female,White,50 years and above,R25 000- R29 999,Everyday,2-3 times per week,20,250,10,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,10,4,Yes,,60,Yes,No
I consent,Male,White,20-29 years,R15 000- R19 999,2-3 times per week,Once per month (or less),6,1000,20,Medium,Gauteng,Pretoria East,.,true,.,.,.,.,,7,More than 30 days,Yes,15,140,No,No
I consent,Male,Indian,40-49 years,R30 000 and above,2-3 times per month,2-3 times per month,8,150,1,High,Gauteng,Johannesburg,.,true,.,.,.,.,,6,5,Yes,42.5,180,I do not wish to disclose this information,No
I consent,Female,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per week,2,75,5.5,Medium,Gauteng,"Pretoria, Gauteng",.,.,.,.,true,.,,8,2,Yes,10,65,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),10,300,20,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,5,20,No,,,No,No
I consent,Female,White,30-39 years,R15 000- R19 999,Everyday,Once per month (or less),20,800,20,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,5,30,Yes,35,100,No,No
I consent,Male,White,20-29 years,< R1000 (less than R1000),Once per month (or less),Once per month (or less),4,150,5,High,Gauteng,Pretoria,true,.,.,.,.,.,,8,More than 30 days,Yes,20,80,Yes,Yes
I consent,Male,African,20-29 years,< R1000 (less than R1000),Everyday,Once per week,11,50,25,Low,Gauteng,Vereeninging,.,true,.,.,.,.,,2,7,No,,,Yes,No
I consent,Male,White,30-39 years,R5000-R9999,Everyday,Once per month (or less),17,600,120,Medium,Gauteng,Magaliesburg,.,.,.,.,.,true,,8,25,No,,,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,Once per month (or less),6,1250,50,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,9,30,Yes,5,375,No,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,Once per month (or less),20,1500,8,High,Gauteng,Cresta,.,true,.,.,.,.,,5,25,Yes,133.33333,250,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,5,500,20,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,10,30,Yes,15,90,Yes,Yes
I consent,Male,White,30-39 years,R30 000 and above,2-3 times per week,Once per month (or less),18,400,6,High,Gauteng,Pretoria,true,.,.,.,.,.,,8,14,Yes,50,115,Yes,No
I consent,Male,Coloured,20-29 years,R1000- R4999,Everyday,2-3 times per week,4,50,6.5,Low,Gauteng,Johannesburg,.,true,.,.,.,.,,9,5,Yes,,42.5,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),6,1000,20,Medium,Gauteng,Johannesburg,.,.,.,.,true,.,,5,30,Yes,30,202,No,No
I consent,Female,White,20-29 years,R10 000- R14 999,2-3 times per week,Once per month (or less),6,200,5,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,10,30,No,,,Yes,No
I consent,Male,White,30-39 years,R1000- R4999,2-3 times per month,Once per month (or less),10,100,15,Low,Gauteng,Pretoria,.,.,.,.,true,.,,7,15,No,,,Yes,No
I consent,Female,White,40-49 years,R10 000- R14 999,2-3 times per week,Once per month (or less),4,150,1,High,Gauteng,Johannesburg,.,true,.,.,.,.,,7,21,Yes,80,210,No,Yes
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,9,150,6,Medium,Gauteng,Yeoville,true,.,.,.,.,.,,9,2,No,,,No,No
I consent,Female,White,40-49 years,R1000- R4999,I do not wish to disclose this information,I do not wish to disclose this information,20,2000,500,Medium,Gauteng,JHB,true,.,.,.,.,.,,1,30,No,,,No,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,Once per week,4,500,5,High,Gauteng,Pretoria,true,.,.,.,.,.,,8,6,Yes,57.5,155,No,No
I consent,Female,White,50 years and above,R5000-R9999,Once per month (or less),Once per month (or less),19,50,10,Low,Gauteng,Randfontein,true,.,.,.,.,.,,10,25,No,,,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Everyday,4,150,10,Medium,Gauteng,Joburg,.,true,.,.,.,.,,8,3,No,,,No,.
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Once per week,1,500,25,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,9,25,Yes,10,120,No,No
I consent,Male,White,40-49 years,R1000- R4999,Everyday,2-3 times per month,20,500,60,Medium,Gauteng,midrand,.,.,.,.,true,.,,5,11,No,,,No,No
I consent,Male,White,20-29 years,R25 000- R29 999,Everyday,2-3 times per month,10,600,20,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,8,14,Yes,12.5,150,No,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,7,70,8,Low,Gauteng,Pretoria,true,.,.,.,.,.,,3,5,Yes,,56.666668,Yes,No
I consent,Male,Asian,20-29 years,R5000-R9999,Everyday,Once per month (or less),8,150,5,Medium,Gauteng,Lonehill,.,true,.,.,.,.,,3,21,No,,,No,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,2-3 times per week,6,400,16,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,9,25,Yes,,75,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per week,5,350,12.5,Medium,Gauteng,JOHANNESBURG,.,true,.,.,.,.,,9,3,Yes,13.5,75,No,No
I consent,Male,White,20-29 years,R20 000- R24 999,2-3 times per month,Once per month (or less),3,199,4,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,7,30,Yes,33.333332,100,Yes,No
I consent,I would prefer not to answer,I would prefer to not answer,20-29 years,< R1000 (less than R1000),Everyday,Once per week,9,100,5,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,5,5,Yes,15,200,No,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,6,50,2,Medium,Gauteng,Vaal,.,true,.,.,.,.,,10,2,Yes,10,65,No,No
I consent,Male,White,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per month,4,150,6,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,7,4,Yes,10,100,No,Yes
I consent,Male,I would prefer to not answer,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,Everyday,5,10000,5000,High,Gauteng,Soweto,.,true,.,.,.,.,,2,More than 30 days,No,,,No,No
I consent,Female,White,20-29 years,R10 000- R14 999,Once per week,Once per month (or less),5,300,10,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,10,More than 30 days,Yes,10,60,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,3,100,10,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,6,7,No,,,No,No
I consent,Male,African,20-29 years,R20 000- R24 999,Everyday,2-3 times per month,9,200,8,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,8,18,Yes,13.333333,75,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,5,400,10,Medium,Gauteng,Fourways,.,true,.,.,.,.,,8,7,Yes,19,180,No,Yes
I consent,Male,White,20-29 years,R20 000- R24 999,2-3 times per week,2-3 times per month,8,600,4,High,Gauteng,Johannesburg,true,.,.,.,.,.,,8,14,Yes,40,180,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,10,500,35,Medium,Gauteng,Fourways,.,true,.,.,.,.,,8,28,Yes,10,18.333334,Yes,Yes
I consent,Male,White,20-29 years,R20 000- R24 999,Everyday,Once per week,9,500,5,High,Gauteng,Jhb,true,.,.,.,.,.,,2,7,Yes,47.5,130,Yes,Yes
I consent,Male,White,30-39 years,R30 000 and above,Everyday,Once per month (or less),15,800,10,High,Gauteng,Johannesburg,.,true,.,.,.,.,,3,More than 30 days,Yes,70,200,Yes,No
I consent,Male,Other,20-29 years,R5000-R9999,Everyday,Once per week,5,10000,5000,High,Gauteng,Albertom,true,.,.,.,.,.,,10,More than 30 days,Yes,,65,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,3,600,8,High,Gauteng,Johannesburg,.,true,.,.,.,.,,8,4,Yes,40,115,No,I do not wish to disclose this information
I consent,Female,White,50 years and above,R30 000 and above,I do not wish to disclose this information,Once per month (or less),20,3500,500,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,10,More than 30 days,,,,No,No
I consent,Male,White,30-39 years,R20 000- R24 999,Once per month (or less),2-3 times per month,1,1250,25,Medium,Gauteng,Boksburg,true,.,.,.,.,.,,6,30,Yes,16,150,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Everyday,4,30,2,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,10,1,Yes,,25,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per week,3,9000,50,High,Gauteng,Johannesburg,.,true,.,.,.,.,,10,20,Yes,60,300,Yes,No
I consent,Female,White,30-39 years,R10 000- R14 999,Everyday,Everyday,1,20,1,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,10,1,No,,,Yes,No
I consent,Male,White,40-49 years,R25 000- R29 999,Everyday,Once per week,20,1000,20,High,Gauteng,Boksburg,true,.,.,.,.,.,,10,7,Yes,17.5,90,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,11,800,7,High,Gauteng,roodepoort,.,.,.,.,.,true,,4,10,Yes,18.875,150,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,2,150,5,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,10,7,Yes,15,100,No,No
I consent,Male,Indian,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,10,2000,500,Medium,Gauteng,Johannesburg,.,.,.,.,true,.,,4,30,Yes,,200,Yes,Yes
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,5,420,15,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,7,5,Yes,14,140,Yes,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,2-3 times per month,20,500,30,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,8,10,Yes,7.5,31.25,No,No
I consent,Male,White,20-29 years,R30 000 and above,Everyday,Once per week,7,400,8,Medium,Gauteng,.,.,true,.,.,.,.,,8,6,Yes,10,85,I do not wish to disclose this information,No
I consent,Male,I would prefer to not answer,30-39 years,R1000- R4999,Everyday,Everyday,15,1400,10,High,Gauteng,Centurion,.,true,.,.,.,.,,8,4,Yes,100,160,Yes,No
